GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC03_EST_VC02,HC05_EST_VC02,HC01_EST_VC06,HC01_EST_VC08,HC01_EST_VC15
Id,Id2,Geography,Total; Estimate; Population 18 to 24 years,Male; Estimate; Population 18 to 24 years,Female; Estimate; Population 18 to 24 years,Total; Estimate; Population 18 to 24 years - Bachelor's degree or higher,Total; Estimate; Population 25 years and over,Total; Estimate; Population 25 years and over - Graduate or professional degree
0500000US01003,1003,"Baldwin County, Alabama",14570,7012,7558,1244,152037,16148
0500000US01015,1015,"Calhoun County, Alabama",10146,5017,5129,609,79582,6914
0500000US01043,1043,"Cullman County, Alabama",6747,3800,2947,316,57916,2725
0500000US01049,1049,"DeKalb County, Alabama",6773,3505,3268,94,47604,2517
0500000US01051,1051,"Elmore County, Alabama",7800,3308,4492,561,55782,4952
0500000US01055,1055,"Etowah County, Alabama",8569,4326,4243,486,71846,5510
0500000US01069,1069,"Houston County, Alabama",8008,3966,4042,644,72149,6038
0500000US01073,1073,"Jefferson County, Alabama",60333,29716,30617,8603,448110,56844
0500000US01077,1077,"Lauderdale County, Alabama",10236,4623,5613,644,63925,5746
0500000US01081,1081,"Lee County, Alabama",30374,15946,14428,2088,96835,14962
0500000US01083,1083,"Limestone County, Alabama",8155,4331,3824,855,65019,5910
0500000US01089,1089,"Madison County, Alabama",33947,17259,16688,3365,247593,40355
0500000US01095,1095,"Marshall County, Alabama",9198,4256,4942,220,62672,4376
0500000US01097,1097,"Mobile County, Alabama",38031,18811,19220,2287,278255,22987
0500000US01101,1101,"Montgomery County, Alabama",22656,11324,11332,744,150542,19844
0500000US01103,1103,"Morgan County, Alabama",9770,5043,4727,150,82161,4727
0500000US01115,1115,"St. Clair County, Alabama",5753,2917,2836,165,61901,3297
0500000US01117,1117,"Shelby County, Alabama",18170,8322,9848,2202,144760,22559
0500000US01121,1121,"Talladega County, Alabama",6474,3144,3330,112,56193,3040
0500000US01125,1125,"Tuscaloosa County, Alabama",35254,16757,18497,1727,128996,17264
0500000US01127,1127,"Walker County, Alabama",5167,2621,2546,10,44837,1914
0500000US02020,2020,"Anchorage Municipality, Alaska",29848,16287,13561,2247,192466,26367
0500000US02090,2090,"Fairbanks North Star Borough, Alaska",13857,8975,4882,1224,61914,8035
0500000US02170,2170,"Matanuska-Susitna Borough, Alaska",9409,5109,4300,552,67973,4894
0500000US04001,4001,"Apache County, Arizona",7255,3900,3355,0,44572,1710
0500000US04003,4003,"Cochise County, Arizona",10871,5788,5083,260,86811,9290
0500000US04005,4005,"Coconino County, Arizona",27775,12994,14781,1763,83432,13020
0500000US04013,4013,"Maricopa County, Arizona",397294,204568,192726,37320,2864476,333871
0500000US04015,4015,"Mohave County, Arizona",12221,5657,6564,282,158780,8713
0500000US04017,4017,"Navajo County, Arizona",9466,5349,4117,79,70045,5149
0500000US04019,4019,"Pima County, Arizona",121317,61850,59467,9447,684433,95931
0500000US04021,4021,"Pinal County, Arizona",33662,18898,14764,1095,297571,20321
0500000US04025,4025,"Yavapai County, Arizona",14796,8214,6582,430,175929,18072
0500000US04027,4027,"Yuma County, Arizona",23765,13856,9909,275,131272,7045
0500000US05007,5007,"Benton County, Arkansas",21352,10710,10642,2140,174196,18731
0500000US05031,5031,"Craighead County, Arkansas",11583,5224,6359,1949,69331,7376
0500000US05045,5045,"Faulkner County, Arkansas",18951,9130,9821,2152,75973,9763
0500000US05051,5051,"Garland County, Arkansas",7381,4083,3298,116,71435,4842
0500000US05069,5069,"Jefferson County, Arkansas",7205,3578,3627,657,46424,2773
0500000US05085,5085,"Lonoke County, Arkansas",5809,2669,3140,820,48062,2801
0500000US05119,5119,"Pulaski County, Arkansas",33955,17288,16667,4289,267664,38415
0500000US05125,5125,"Saline County, Arkansas",8873,4519,4354,843,82486,7526
0500000US05131,5131,"Sebastian County, Arkansas",12116,5736,6380,311,85038,6265
0500000US05143,5143,"Washington County, Arkansas",35018,17762,17256,4314,140005,17450
0500000US05145,5145,"White County, Arkansas",9156,4688,4468,529,51342,4270
0500000US06001,6001,"Alameda County, California",140475,70453,70022,23023,1178053,230248
0500000US06007,6007,"Butte County, California",32324,16202,16122,2647,151101,14993
0500000US06013,6013,"Contra Costa County, California",94314,48151,46163,10330,791111,122678
0500000US06017,6017,"El Dorado County, California",13956,7668,6288,1258,137282,15761
0500000US06019,6019,"Fresno County, California",99039,50483,48556,5120,608533,40318
0500000US06023,6023,"Humboldt County, California",18382,9539,8843,681,92277,11194
0500000US06025,6025,"Imperial County, California",19025,10370,8655,689,111254,5185
0500000US06029,6029,"Kern County, California",91460,49020,42440,2975,542437,30343
0500000US06031,6031,"Kings County, California",16011,9212,6799,569,93123,3531
0500000US06033,6033,"Lake County, California",3049,2099,950,67,48029,2008
0500000US06037,6037,"Los Angeles County, California",983483,496991,486492,109088,6955119,774869
0500000US06039,6039,"Madera County, California",14893,7623,7270,442,99417,4641
0500000US06041,6041,"Marin County, California",17052,9060,7992,2977,191635,49347
0500000US06045,6045,"Mendocino County, California",6264,3208,3056,112,62833,6228
0500000US06047,6047,"Merced County, California",30106,15762,14344,2091,162053,7583
0500000US06053,6053,"Monterey County, California",44246,23106,21140,2929,278518,27510
0500000US06055,6055,"Napa County, California",12875,6483,6392,1218,98614,12602
0500000US06057,6057,"Nevada County, California",5580,2729,2851,322,76951,11003
0500000US06059,6059,"Orange County, California",297063,150912,146151,38177,2187338,311102
0500000US06061,6061,"Placer County, California",28641,14664,13977,2772,271276,34765
0500000US06065,6065,"Riverside County, California",239444,122212,117232,14655,1567612,123900
0500000US06067,6067,"Sacramento County, California",131898,67653,64245,10103,1034406,109437
0500000US06071,6071,"San Bernardino County, California",227781,118757,109024,14052,1357953,93140
0500000US06073,6073,"San Diego County, California",346417,191005,155412,38175,2262740,340293
0500000US06075,6075,"San Francisco County, California",63254,30674,32580,21512,702525,159481
0500000US06077,6077,"San Joaquin County, California",71715,37489,34226,3453,470574,26976
0500000US06079,6079,"San Luis Obispo County, California",43604,23544,20060,4779,189011,27932
0500000US06081,6081,"San Mateo County, California",55586,28332,27254,13147,555560,127828
0500000US06083,6083,"Santa Barbara County, California",71301,35838,35463,7388,277137,39027
0500000US06085,6085,"Santa Clara County, California",163769,85825,77944,37900,1344303,332605
0500000US06087,6087,"Santa Cruz County, California",41064,20225,20839,4196,181407,29733
0500000US06089,6089,"Shasta County, California",14769,7678,7091,1053,126457,9842
0500000US06095,6095,"Solano County, California",39762,21241,18521,3168,306637,25300
0500000US06097,6097,"Sonoma County, California",41789,20923,20866,3876,362732,48082
