GEO.id,GEO.id2,GEO.display-label,HC03_EST_VC02
Id,Id2,Geography,Mean income (dollars); Estimate; All households
0500000US01003,1003,"Baldwin County, Alabama",74963
0500000US01015,1015,"Calhoun County, Alabama",65315
0500000US01043,1043,"Cullman County, Alabama",55370
0500000US01049,1049,"DeKalb County, Alabama",58474
0500000US01051,1051,"Elmore County, Alabama",75822
0500000US01055,1055,"Etowah County, Alabama",57242
0500000US01069,1069,"Houston County, Alabama",65653
0500000US01073,1073,"Jefferson County, Alabama",74553
0500000US01077,1077,"Lauderdale County, Alabama",61141
0500000US01081,1081,"Lee County, Alabama",69475
0500000US01083,1083,"Limestone County, Alabama",75077
0500000US01089,1089,"Madison County, Alabama",82659
0500000US01095,1095,"Marshall County, Alabama",59861
0500000US01097,1097,"Mobile County, Alabama",63728
0500000US01101,1101,"Montgomery County, Alabama",62324
0500000US01103,1103,"Morgan County, Alabama",63696
0500000US01115,1115,"St. Clair County, Alabama",59360
0500000US01117,1117,"Shelby County, Alabama",92753
0500000US01121,1121,"Talladega County, Alabama",53709
0500000US01125,1125,"Tuscaloosa County, Alabama",68087
0500000US01127,1127,"Walker County, Alabama",57531
0500000US02020,2020,"Anchorage Municipality, Alaska",100976
0500000US02090,2090,"Fairbanks North Star Borough, Alaska",93422
0500000US02170,2170,"Matanuska-Susitna Borough, Alaska",86073
0500000US04001,4001,"Apache County, Arizona",43172
0500000US04003,4003,"Cochise County, Arizona",65303
0500000US04005,4005,"Coconino County, Arizona",74035
0500000US04013,4013,"Maricopa County, Arizona",85394
0500000US04015,4015,"Mohave County, Arizona",58052
0500000US04017,4017,"Navajo County, Arizona",55730
0500000US04019,4019,"Pima County, Arizona",71284
0500000US04021,4021,"Pinal County, Arizona",64837
0500000US04025,4025,"Yavapai County, Arizona",64830
0500000US04027,4027,"Yuma County, Arizona",60110
0500000US05007,5007,"Benton County, Arkansas",88119
0500000US05031,5031,"Craighead County, Arkansas",68849
0500000US05045,5045,"Faulkner County, Arkansas",66286
0500000US05051,5051,"Garland County, Arkansas",62006
0500000US05069,5069,"Jefferson County, Arkansas",51315
0500000US05085,5085,"Lonoke County, Arkansas",66774
0500000US05119,5119,"Pulaski County, Arkansas",75907
0500000US05125,5125,"Saline County, Arkansas",76235
0500000US05131,5131,"Sebastian County, Arkansas",57899
0500000US05143,5143,"Washington County, Arkansas",70650
0500000US05145,5145,"White County, Arkansas",61465
0500000US06001,6001,"Alameda County, California",125112
0500000US06007,6007,"Butte County, California",70280
0500000US06013,6013,"Contra Costa County, California",130188
0500000US06017,6017,"El Dorado County, California",101072
0500000US06019,6019,"Fresno County, California",73235
0500000US06023,6023,"Humboldt County, California",64858
0500000US06025,6025,"Imperial County, California",67264
0500000US06029,6029,"Kern County, California",67703
0500000US06031,6031,"Kings County, California",68727
0500000US06033,6033,"Lake County, California",66717
0500000US06037,6037,"Los Angeles County, California",94165
0500000US06039,6039,"Madera County, California",67518
0500000US06041,6041,"Marin County, California",170204
0500000US06045,6045,"Mendocino County, California",74881
0500000US06047,6047,"Merced County, California",69191
0500000US06053,6053,"Monterey County, California",92289
0500000US06055,6055,"Napa County, California",117159
0500000US06057,6057,"Nevada County, California",97007
0500000US06059,6059,"Orange County, California",115705
0500000US06061,6061,"Placer County, California",104407
0500000US06065,6065,"Riverside County, California",84811
0500000US06067,6067,"Sacramento County, California",85305
0500000US06071,6071,"San Bernardino County, California",77439
0500000US06073,6073,"San Diego County, California",103215
0500000US06075,6075,"San Francisco County, California",151667
0500000US06077,6077,"San Joaquin County, California",82227
0500000US06079,6079,"San Luis Obispo County, California",92729
0500000US06081,6081,"San Mateo County, California",163672
0500000US06083,6083,"Santa Barbara County, California",101807
0500000US06085,6085,"Santa Clara County, California",154891
0500000US06087,6087,"Santa Cruz County, California",111228
0500000US06089,6089,"Shasta County, California",73496
0500000US06095,6095,"Solano County, California",97373
0500000US06097,6097,"Sonoma County, California",103489
0500000US06099,6099,"Stanislaus County, California",75818
0500000US06101,6101,"Sutter County, California",71130
0500000US06107,6107,"Tulare County, California",64624
0500000US06111,6111,"Ventura County, California",110266
0500000US06113,6113,"Yolo County, California",95195
0500000US06115,6115,"Yuba County, California",71044
0500000US08001,8001,"Adams County, Colorado",79622
0500000US08005,8005,"Arapahoe County, Colorado",101911
0500000US08013,8013,"Boulder County, Colorado",113034
0500000US08014,8014,"Broomfield County, Colorado",111665
0500000US08031,8031,"Denver County, Colorado",96244
0500000US08035,8035,"Douglas County, Colorado",139110
0500000US08041,8041,"El Paso County, Colorado",83695
0500000US08059,8059,"Jefferson County, Colorado",100925
0500000US08069,8069,"Larimer County, Colorado",89304
0500000US08077,8077,"Mesa County, Colorado",68315
0500000US08101,8101,"Pueblo County, Colorado",58202
0500000US08123,8123,"Weld County, Colorado",83706
0500000US09001,9001,"Fairfield County, Connecticut",148996
0500000US09003,9003,"Hartford County, Connecticut",94553
0500000US09005,9005,"Litchfield County, Connecticut",100709
0500000US09007,9007,"Middlesex County, Connecticut",101247
0500000US09009,9009,"New Haven County, Connecticut",90654
0500000US09011,9011,"New London County, Connecticut",94134
0500000US09013,9013,"Tolland County, Connecticut",100872
0500000US09015,9015,"Windham County, Connecticut",76185
0500000US10001,10001,"Kent County, Delaware",73873
0500000US10003,10003,"New Castle County, Delaware",91438
0500000US10005,10005,"Sussex County, Delaware",84402
0500000US11001,11001,"District of Columbia, District of Columbia",121095
0500000US12001,12001,"Alachua County, Florida",66234
0500000US12005,12005,"Bay County, Florida",68688
0500000US12009,12009,"Brevard County, Florida",73082
0500000US12011,12011,"Broward County, Florida",82449
0500000US12015,12015,"Charlotte County, Florida",66009
0500000US12017,12017,"Citrus County, Florida",55172
0500000US12019,12019,"Clay County, Florida",82306
0500000US12021,12021,"Collier County, Florida",103133
0500000US12023,12023,"Columbia County, Florida",56092
0500000US12031,12031,"Duval County, Florida",72894
0500000US12033,12033,"Escambia County, Florida",64246
0500000US12035,12035,"Flagler County, Florida",62637
0500000US12053,12053,"Hernando County, Florida",58638
0500000US12055,12055,"Highlands County, Florida",50430
0500000US12057,12057,"Hillsborough County, Florida",79084
0500000US12061,12061,"Indian River County, Florida",82567
0500000US12069,12069,"Lake County, Florida",65443
0500000US12071,12071,"Lee County, Florida",77931
0500000US12073,12073,"Leon County, Florida",75108
0500000US12081,12081,"Manatee County, Florida",76958
0500000US12083,12083,"Marion County, Florida",60694
0500000US12085,12085,"Martin County, Florida",97743
0500000US12086,12086,"Miami-Dade County, Florida",73762
0500000US12087,12087,"Monroe County, Florida",100467
0500000US12089,12089,"Nassau County, Florida",91812
0500000US12091,12091,"Okaloosa County, Florida",80915
0500000US12095,12095,"Orange County, Florida",79866
0500000US12097,12097,"Osceola County, Florida",63320
0500000US12099,12099,"Palm Beach County, Florida",93146
0500000US12101,12101,"Pasco County, Florida",68680
0500000US12103,12103,"Pinellas County, Florida",74485
0500000US12105,12105,"Polk County, Florida",64787
0500000US12107,12107,"Putnam County, Florida",45434
0500000US12109,12109,"St. Johns County, Florida",102604
0500000US12111,12111,"St. Lucie County, Florida",65458
0500000US12113,12113,"Santa Rosa County, Florida",78141
0500000US12115,12115,"Sarasota County, Florida",86904
0500000US12117,12117,"Seminole County, Florida",87078
0500000US12119,12119,"Sumter County, Florida",68865
0500000US12127,12127,"Volusia County, Florida",63835
0500000US12131,12131,"Walton County, Florida",72156
0500000US13013,13013,"Barrow County, Georgia",68643
0500000US13015,13015,"Bartow County, Georgia",72742
0500000US13021,13021,"Bibb County, Georgia",61934
0500000US13031,13031,"Bulloch County, Georgia",59163
0500000US13045,13045,"Carroll County, Georgia",65987
0500000US13047,13047,"Catoosa County, Georgia",69517
0500000US13051,13051,"Chatham County, Georgia",77300
0500000US13057,13057,"Cherokee County, Georgia",95248
0500000US13059,13059,"Clarke County, Georgia",60909
0500000US13063,13063,"Clayton County, Georgia",55991
0500000US13067,13067,"Cobb County, Georgia",100846
0500000US13073,13073,"Columbia County, Georgia",92116
0500000US13077,13077,"Coweta County, Georgia",88829
0500000US13089,13089,"DeKalb County, Georgia",88119
0500000US13095,13095,"Dougherty County, Georgia",52320
0500000US13097,13097,"Douglas County, Georgia",71273
0500000US13113,13113,"Fayette County, Georgia",105116
0500000US13115,13115,"Floyd County, Georgia",62691
0500000US13117,13117,"Forsyth County, Georgia",122693
0500000US13121,13121,"Fulton County, Georgia",108434
0500000US13127,13127,"Glynn County, Georgia",80082
0500000US13135,13135,"Gwinnett County, Georgia",89726
0500000US13139,13139,"Hall County, Georgia",89711
0500000US13151,13151,"Henry County, Georgia",81309
0500000US13153,13153,"Houston County, Georgia",74731
0500000US13157,13157,"Jackson County, Georgia",87968
0500000US13185,13185,"Lowndes County, Georgia",55196
0500000US13215,13215,"Muscogee County, Georgia",64410
0500000US13217,13217,"Newton County, Georgia",73179
0500000US13223,13223,"Paulding County, Georgia",77476
0500000US13245,13245,"Richmond County, Georgia",54286
0500000US13247,13247,"Rockdale County, Georgia",78278
0500000US13255,13255,"Spalding County, Georgia",63689
0500000US13285,13285,"Troup County, Georgia",54688
0500000US13295,13295,"Walker County, Georgia",62633
0500000US13297,13297,"Walton County, Georgia",69723
0500000US13313,13313,"Whitfield County, Georgia",59761
0500000US15001,15001,"Hawaii County, Hawaii",75842
0500000US15003,15003,"Honolulu County, Hawaii",103713
0500000US15007,15007,"Kauai County, Hawaii",89431
0500000US15009,15009,"Maui County, Hawaii",101611
0500000US16001,16001,"Ada County, Idaho",84425
0500000US16005,16005,"Bannock County, Idaho",66834
